Nominal,Beaker,Dead,Survival,Total,Csed_norm
0,1,2,8,10,NA
0,2,1,9,10,NA
0,3,0,10,10,NA
0,4,1,9,10,NA
0,5,0,10,10,NA
0,6,3,7,10,NA
50,1,1,9,10,1510.286966
50,2,1,9,10,1510.286966
50,3,0,10,10,1510.286966
50,4,1,9,10,1510.286966
50,5,3,7,10,1510.286966
50,6,1,9,10,1510.286966
100,1,4,6,10,2972.169719
100,2,1,9,10,2972.169719
100,3,2,8,10,2972.169719
100,4,2,8,10,2972.169719
100,5,0,10,10,2972.169719
100,6,1,9,10,2972.169719
200,1,7,3,10,7090.337746
200,2,2,8,10,7090.337746
200,3,0,10,10,7090.337746
200,4,1,9,10,7090.337746
200,5,9,1,10,7090.337746
200,6,1,9,10,7090.337746
400,1,10,0,10,13947.83757
400,2,9,1,10,13947.83757
400,3,4,6,10,13947.83757
400,4,6,4,10,13947.83757
400,5,10,0,10,13947.83757
400,6,2,8,10,13947.83757
